Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-68.4
52000	-68.13
54000	-65.33
56000	-61.85
58000	-62.58
60000	-60.57
62000	-60.03
64000	-59.34
66000	-58.65
68000	-59.48
70000	-59.31
72000	-58.63
74000	-56.26
76000	-55.05
78000	-54.86
80000	-52.9
82000	-54.58
84000	-56.86
86000	-55.82
88000	-54.31
90000	-52.94
92000	-51.25
94000	-49.8
96000	-48.1
98000	-46.33
100000	-44.91
102000	-46.1
104000	-44.98
106000	-44.35
108000	-43.98
110000	-43.92
112000	-43.92
114000	-44
116000	-43.97
118000	-44.29
120000	-43.8
122000	-43.15
124000	-42.43
126000	-41.65
128000	-40.68
130000	-39.86
132000	-38.71
134000	-37.51
136000	-36.18
138000	-35.24
140000	-34.87
142000	-35.1
144000	-35.81
146000	-36.94
148000	-38.65
150000	-40.64
152000	-43.12
154000	-46.37
156000	-49.39
158000	-48.87
160000	-45.95
162000	-43.58
164000	-41.55
166000	-40.26
168000	-39.22
170000	-40.31
172000	-40.72
174000	-43.41
176000	-46.01
178000	-48.21
180000	-47.87
182000	-46.42
184000	-45.04
186000	-43.93
188000	-43.03
190000	-42.37
192000	-42.38
194000	-42.78
196000	-42.14
198000	-42.12
200000	-42.11
202000	-41.65
204000	-41.28
206000	-40.83
208000	-40.17
210000	-39.47
212000	-38.35
214000	-37.55
216000	-37.69
218000	-38.02
220000	-38.62
222000	-38.29
224000	-37.72
226000	-37.26
228000	-36.95
230000	-36.74
232000	-36.54
234000	-36.35
236000	-36.27
238000	-36.15
240000	-36.01
242000	-35.77
244000	-35.51
246000	-35.2
248000	-34.85
250000	-34.55
252000	-34.28
254000	-34.07
256000	-33.82
258000	-33.58
260000	-33.34
262000	-33.1
264000	-32.8
266000	-32.49
268000	-32.08
270000	-31.78
272000	-31.65
274000	-31.57
276000	-31.37
278000	-31.22
280000	-31.27
282000	-31.77
284000	-32.24
286000	-32.04
288000	-31.85
290000	-31.58
292000	-31.54
294000	-31.67
296000	-32.23
298000	-32.7
300000	-32.5
302000	-31.86
304000	-31.09
306000	-30.26
308000	-29.39
310000	-28.53
312000	-27.75
314000	-27.16
316000	-26.84
318000	-27.05
320000	-27.62
322000	-28.3
324000	-28.61
326000	-28.7
328000	-28.77
330000	-28.77
332000	-28.91
334000	-28.79
336000	-28.34
338000	-27.69
340000	-26.95
342000	-26.29
344000	-25.88
346000	-25.75
348000	-25.84
350000	-26.16
352000	-26.75
354000	-27.63
356000	-28.7
358000	-29.72
360000	-30.51
362000	-31.13
364000	-32
366000	-33.05
368000	-34.2
370000	-35.57
372000	-37
374000	-38.36
376000	-39.63
378000	-40.89
380000	-41.54
382000	-41.39
384000	-40.93
386000	-40.73
388000	-40.93
390000	-40.95
392000	-40.76
394000	-40.12
396000	-39.41
398000	-38.03
400000	-37.18
402000	-35.8
404000	-34.77
406000	-33.8
408000	-32.92
410000	-32.03
412000	-30.65
414000	-29.26
416000	-28.36
418000	-27.66
420000	-27.31
422000	-27.36
424000	-27.67
426000	-28.1
428000	-28.67
430000	-29.32
432000	-30
434000	-30.65
436000	-31.21
438000	-31.69
440000	-32.05
442000	-32.35
444000	-32.66
446000	-32.98
448000	-33.3
450000	-33.59
452000	-33.84
454000	-33.98
456000	-34.11
458000	-34.17
460000	-34.25
462000	-34.4
464000	-34.59
466000	-34.89
468000	-35.19
470000	-35.5
472000	-35.83
474000	-36.21
476000	-36.56
478000	-36.86
480000	-37.14
482000	-37.37
484000	-37.39
486000	-37.31
488000	-37.15
490000	-36.99
492000	-36.96
494000	-36.92
496000	-36.71
498000	-36.43
500000	-36.28
502000	-36.33
504000	-36.46
506000	-36.64
508000	-36.83
510000	-36.99
512000	-37.12
514000	-37.27
516000	-37.47
518000	-37.75
520000	-38.13
522000	-38.55
524000	-38.96
526000	-39.3
528000	-39.65
530000	-40.02
532000	-40.27
534000	-40.46
536000	-40.65
538000	-40.76
540000	-40.78
542000	-40.65
544000	-40.38
546000	-39.94
548000	-39.43
550000	-39
552000	-38.65
554000	-38.36
556000	-38.05
558000	-37.85
560000	-37.77
562000	-37.78
564000	-37.75
566000	-37.7
568000	-37.65
570000	-37.6
572000	-37.63
574000	-37.81
576000	-38.14
578000	-38.55
580000	-38.93
582000	-39.18
584000	-39.27
586000	-39.22
588000	-39.07
590000	-38.9
592000	-38.76
594000	-38.64
596000	-38.56
598000	-38.51
600000	-38.49
602000	-38.48
604000	-38.47
606000	-38.47
608000	-38.53
610000	-38.59
612000	-38.64
614000	-38.65
616000	-38.65
618000	-38.68
620000	-38.73
622000	-38.81
624000	-38.93
626000	-39.05
628000	-39.16
630000	-39.21
632000	-39.21
634000	-39.17
636000	-39.12
638000	-39.09
640000	-39.14
642000	-39.18
644000	-39.22
646000	-39.27
648000	-39.29
650000	-39.26
652000	-39.24
654000	-39.32
656000	-39.42
658000	-39.56
660000	-39.76
662000	-40
664000	-40.22
666000	-40.46
668000	-40.69
670000	-40.81
672000	-40.86
674000	-40.99
676000	-41.15
678000	-41.32
680000	-41.43
682000	-41.48
684000	-41.39
686000	-41.28
688000	-41.18
690000	-41.05
692000	-41.07
694000	-41.28
696000	-41.55
698000	-41.53
700000	-41.26
702000	-41.06
704000	-41.03
706000	-41.14
708000	-41.36
710000	-41.56
712000	-41.73
714000	-41.88
716000	-42
718000	-42.18
720000	-42.34
722000	-42.57
724000	-42.8
726000	-43.01
728000	-43.07
730000	-43.12
732000	-43.19
734000	-43.23
736000	-43.24
738000	-43.29
740000	-43.37
