Setup:	VS900-RIC.vst
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-68.89
52000	-68.5
54000	-65.74
56000	-62.17
58000	-62.77
60000	-60.92
62000	-60.35
64000	-59.79
66000	-59.26
68000	-60.15
70000	-59.98
72000	-59.18
74000	-56.37
76000	-55.54
78000	-55.25
80000	-53.69
82000	-55.54
84000	-57.81
86000	-56.67
88000	-54.98
90000	-53.5
92000	-51.65
94000	-50.1
96000	-48.49
98000	-46.93
100000	-45.99
102000	-46.99
104000	-46.14
106000	-45.6
108000	-45.32
110000	-45.28
112000	-45.26
114000	-45.24
116000	-45.06
118000	-44.92
120000	-44.37
122000	-43.58
124000	-42.7
126000	-41.67
128000	-40.5
130000	-39.55
132000	-38.22
134000	-36.95
136000	-35.76
138000	-35.14
140000	-35.02
142000	-35.24
144000	-35.9
146000	-36.89
148000	-38.33
150000	-40.03
152000	-42.33
154000	-45.45
156000	-47.29
158000	-46.62
160000	-44.78
162000	-42.94
164000	-41.16
166000	-40.1
168000	-39.74
170000	-41.07
172000	-41.89
174000	-44.67
176000	-46.55
178000	-46.61
180000	-45.47
182000	-44.46
184000	-43.49
186000	-42.66
188000	-41.86
190000	-41.62
192000	-42.49
194000	-43.23
196000	-41.47
198000	-41.44
200000	-41.36
202000	-40.99
204000	-40.72
206000	-40.27
208000	-39.57
210000	-38.72
212000	-37.61
214000	-36.81
216000	-36.88
218000	-37.19
220000	-37.43
222000	-36.9
224000	-36.28
226000	-35.88
228000	-35.54
230000	-35.27
232000	-35.07
234000	-34.92
236000	-34.89
238000	-34.76
240000	-34.6
242000	-34.33
244000	-34.07
246000	-33.8
248000	-33.52
250000	-33.25
252000	-32.97
254000	-32.77
256000	-32.57
258000	-32.42
260000	-32.22
262000	-31.93
264000	-31.6
266000	-31.33
268000	-31.19
270000	-31.21
272000	-31.11
274000	-30.86
276000	-30.65
278000	-30.67
280000	-30.96
282000	-31.45
284000	-31.52
286000	-31.3
288000	-31.14
290000	-31.03
292000	-31.16
294000	-31.51
296000	-31.7
298000	-31.24
300000	-30.42
302000	-29.64
304000	-28.94
306000	-28.27
308000	-27.64
310000	-27.13
312000	-26.75
314000	-26.59
316000	-26.75
318000	-27.36
320000	-27.95
322000	-28.44
324000	-28.57
326000	-28.67
328000	-28.72
330000	-28.74
332000	-28.49
334000	-27.88
336000	-27.18
338000	-26.48
340000	-25.89
342000	-25.43
344000	-25.05
346000	-24.87
348000	-24.84
350000	-25.13
352000	-25.77
354000	-26.6
356000	-27.49
358000	-28.26
360000	-28.89
362000	-29.57
364000	-30.67
366000	-31.86
368000	-33.2
370000	-34.64
372000	-36.07
374000	-37.48
376000	-38.25
378000	-38.16
380000	-37.88
382000	-38.01
384000	-38.56
386000	-39.4
388000	-39.94
390000	-39.97
392000	-39.76
394000	-39.03
396000	-38.12
398000	-37.13
400000	-36.54
402000	-35.4
404000	-34.38
406000	-33.37
408000	-32.49
410000	-31.59
412000	-30.4
414000	-29.37
416000	-28.63
418000	-27.95
420000	-27.47
422000	-27.27
424000	-27.25
426000	-27.4
428000	-27.77
430000	-28.26
432000	-28.76
434000	-29.2
436000	-29.6
438000	-29.93
440000	-30.16
442000	-30.38
444000	-30.65
446000	-30.95
448000	-31.22
450000	-31.43
452000	-31.54
454000	-31.59
456000	-31.65
458000	-31.75
460000	-31.95
462000	-32.24
464000	-32.57
466000	-32.96
468000	-33.31
470000	-33.68
472000	-34.1
474000	-34.53
476000	-34.83
478000	-34.93
480000	-34.99
482000	-34.99
484000	-34.93
486000	-34.95
488000	-34.88
490000	-34.76
492000	-34.76
494000	-34.7
496000	-34.51
498000	-34.32
500000	-34.26
502000	-34.3
504000	-34.4
506000	-34.59
508000	-34.8
510000	-34.95
512000	-35.09
514000	-35.3
516000	-35.57
518000	-35.92
520000	-36.33
522000	-36.74
524000	-37.11
526000	-37.44
528000	-37.77
530000	-38.07
532000	-38.31
534000	-38.55
536000	-38.82
538000	-38.97
540000	-39
542000	-38.89
544000	-38.63
546000	-38.25
548000	-37.78
550000	-37.37
552000	-37.07
554000	-36.79
556000	-36.48
558000	-36.26
560000	-36.18
562000	-36.18
564000	-36.13
566000	-36.11
568000	-36.1
570000	-36.16
572000	-36.32
574000	-36.58
576000	-36.86
578000	-37.1
580000	-37.22
582000	-37.13
584000	-36.88
586000	-36.64
588000	-36.45
590000	-36.34
592000	-36.27
594000	-36.23
596000	-36.22
598000	-36.23
600000	-36.26
602000	-36.29
604000	-36.34
606000	-36.4
608000	-36.47
610000	-36.53
612000	-36.54
614000	-36.53
616000	-36.54
618000	-36.58
620000	-36.64
622000	-36.7
624000	-36.78
626000	-36.86
628000	-36.93
630000	-36.99
632000	-37.01
634000	-36.99
636000	-36.97
638000	-36.98
640000	-37.01
642000	-36.99
644000	-36.95
646000	-36.93
648000	-36.91
650000	-36.9
652000	-36.94
654000	-37.06
656000	-37.22
658000	-37.46
660000	-37.75
662000	-38
664000	-38.18
666000	-38.4
668000	-38.67
670000	-38.86
672000	-39.1
674000	-39.31
676000	-39.45
678000	-39.58
680000	-39.6
682000	-39.56
684000	-39.33
686000	-39.22
688000	-39.18
690000	-39.12
692000	-39.2
694000	-39.3
696000	-39.26
698000	-38.95
700000	-38.63
702000	-38.56
704000	-38.65
706000	-38.9
708000	-39.21
710000	-39.51
712000	-39.8
714000	-40.04
716000	-40.27
718000	-40.5
720000	-40.68
722000	-40.91
724000	-41.07
726000	-41.17
728000	-41.08
730000	-41.03
732000	-41.05
734000	-41.08
736000	-41.11
738000	-41.21
