Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.41
52000	-67.14
54000	-66.28
56000	-63.12
58000	-62.66
60000	-61.12
62000	-60.57
64000	-60.06
66000	-59.8
68000	-60.68
70000	-60.31
72000	-59.27
74000	-56.39
76000	-55.82
78000	-55.74
80000	-54.63
82000	-56.17
84000	-58.55
86000	-57.15
88000	-55.3
90000	-53.76
92000	-51.61
94000	-50.26
96000	-48.99
98000	-47.58
100000	-47.62
102000	-48.28
104000	-47.56
106000	-47.14
108000	-46.93
110000	-46.76
112000	-46.47
114000	-46.12
116000	-45.64
118000	-45.14
120000	-44.53
122000	-43.54
124000	-42.47
126000	-41.26
128000	-39.92
130000	-38.98
132000	-37.65
134000	-36.45
136000	-35.44
138000	-35.08
140000	-35.23
142000	-35.66
144000	-36.29
146000	-37.3
148000	-38.81
150000	-40.57
152000	-43.08
154000	-44.84
156000	-47.15
158000	-45.82
160000	-44.28
162000	-42.54
164000	-41.02
166000	-40.15
168000	-40.4
170000	-41.19
172000	-42.3
174000	-43.96
176000	-44.24
178000	-43.61
180000	-42.72
182000	-42.14
184000	-41.5
186000	-40.88
188000	-40.18
190000	-40.68
192000	-41.87
194000	-43.15
196000	-40.84
198000	-40.65
200000	-40.59
202000	-40.62
204000	-40.34
206000	-40.17
208000	-39.68
210000	-38.82
212000	-37.72
214000	-36.93
216000	-36.91
218000	-37
220000	-36.94
222000	-36.21
224000	-35.57
226000	-35.11
228000	-34.72
230000	-34.47
232000	-34.23
234000	-33.99
236000	-33.87
238000	-33.63
240000	-33.41
242000	-33.17
244000	-32.87
246000	-32.55
248000	-32.23
250000	-31.93
252000	-31.59
254000	-31.35
256000	-31.17
258000	-30.97
260000	-30.78
262000	-30.54
264000	-30.41
266000	-30.44
268000	-30.5
270000	-30.4
272000	-30.16
274000	-30.04
276000	-30.05
278000	-30.21
280000	-30.41
282000	-30.65
284000	-30.56
286000	-30.44
288000	-30.46
290000	-30.55
292000	-30.82
294000	-30.74
296000	-30.09
298000	-29.23
300000	-28.41
302000	-27.76
304000	-27.21
306000	-26.76
308000	-26.39
310000	-26.14
312000	-26.04
314000	-26.19
316000	-26.67
318000	-27.48
320000	-27.93
322000	-28.23
324000	-28.45
326000	-28.61
328000	-28.57
330000	-28.22
332000	-27.56
334000	-26.82
336000	-26.21
338000	-25.71
340000	-25.32
342000	-24.96
344000	-24.62
346000	-24.49
348000	-24.52
350000	-24.84
352000	-25.34
354000	-25.92
356000	-26.54
358000	-27.15
360000	-27.87
362000	-28.83
364000	-30.18
366000	-31.53
368000	-32.93
370000	-34.12
372000	-34.89
374000	-35.09
376000	-34.76
378000	-34.62
380000	-35.1
382000	-36.03
384000	-37.17
386000	-38.04
388000	-38.51
390000	-38.64
392000	-38.47
394000	-37.93
396000	-37.23
398000	-36.71
400000	-35.91
402000	-34.72
404000	-33.84
406000	-33.07
408000	-32.35
410000	-31.49
412000	-30.55
414000	-29.81
416000	-29.23
418000	-28.68
420000	-28.27
422000	-28.04
424000	-27.91
426000	-27.91
428000	-28.06
430000	-28.27
432000	-28.47
434000	-28.65
436000	-28.83
438000	-28.97
440000	-29.11
442000	-29.3
444000	-29.52
446000	-29.69
448000	-29.79
450000	-29.84
452000	-29.81
454000	-29.82
456000	-29.91
458000	-30.08
460000	-30.35
462000	-30.66
464000	-31.03
466000	-31.44
468000	-31.88
470000	-32.26
472000	-32.56
474000	-32.76
476000	-32.87
478000	-32.91
480000	-33.01
482000	-33
484000	-33.05
486000	-33.03
488000	-32.88
490000	-32.74
492000	-32.77
494000	-32.73
496000	-32.58
498000	-32.44
500000	-32.37
502000	-32.41
504000	-32.51
506000	-32.71
508000	-32.93
510000	-33.08
512000	-33.26
514000	-33.48
516000	-33.75
518000	-34.12
520000	-34.56
522000	-34.96
524000	-35.27
526000	-35.54
528000	-35.86
530000	-36.18
532000	-36.51
534000	-36.84
536000	-37.07
538000	-37.18
540000	-37.17
542000	-37.05
544000	-36.84
546000	-36.52
548000	-36.11
550000	-35.79
552000	-35.58
554000	-35.31
556000	-35.02
558000	-34.81
560000	-34.71
562000	-34.68
564000	-34.64
566000	-34.7
568000	-34.82
570000	-35
572000	-35.22
574000	-35.42
576000	-35.52
578000	-35.45
580000	-35.23
582000	-34.93
584000	-34.69
586000	-34.56
588000	-34.51
590000	-34.48
592000	-34.45
594000	-34.41
596000	-34.39
598000	-34.39
600000	-34.44
602000	-34.48
604000	-34.52
606000	-34.56
608000	-34.58
610000	-34.59
612000	-34.54
614000	-34.49
616000	-34.49
618000	-34.51
620000	-34.55
622000	-34.61
624000	-34.71
626000	-34.83
628000	-34.97
630000	-35.08
632000	-35.12
634000	-35.12
636000	-35.08
638000	-35.05
640000	-35.03
642000	-34.99
644000	-34.99
646000	-35.03
648000	-35.11
650000	-35.24
652000	-35.44
654000	-35.68
656000	-35.94
658000	-36.21
660000	-36.47
662000	-36.69
664000	-36.93
666000	-37.23
668000	-37.49
670000	-37.62
672000	-37.72
674000	-37.73
676000	-37.68
678000	-37.69
680000	-37.69
682000	-37.66
684000	-37.43
686000	-37.34
688000	-37.16
690000	-37.05
692000	-37.11
694000	-37.17
696000	-37.08
698000	-36.78
700000	-36.58
702000	-36.64
704000	-36.87
706000	-37.23
708000	-37.66
710000	-38.06
712000	-38.43
714000	-38.68
716000	-38.87
718000	-39.01
720000	-39.1
722000	-39.21
724000	-39.29
726000	-39.31
728000	-39.24
730000	-39.25
732000	-39.36
734000	-39.41
736000	-39.47
738000	-39.56
