Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-69.37
52000	-68.38
54000	-66.49
56000	-63.33
58000	-63.01
60000	-61.26
62000	-60.72
64000	-60.11
66000	-59.88
68000	-60.69
70000	-60.65
72000	-59.61
74000	-56.89
76000	-56.28
78000	-55.96
80000	-54.81
82000	-56.87
84000	-58.8
86000	-57.52
88000	-55.66
90000	-54.09
92000	-52.2
94000	-50.74
96000	-49.33
98000	-48.29
100000	-48.13
102000	-48.54
104000	-47.88
106000	-47.5
108000	-47.34
110000	-47.19
112000	-46.99
114000	-46.73
116000	-46.4
118000	-45.97
120000	-45.51
122000	-44.65
124000	-43.66
126000	-42.56
128000	-41.37
130000	-40.42
132000	-38.96
134000	-37.63
136000	-36.48
138000	-35.93
140000	-35.88
142000	-36.19
144000	-36.73
146000	-37.51
148000	-38.59
150000	-40.03
152000	-42.27
154000	-44.44
156000	-45.26
158000	-44.46
160000	-43.29
162000	-41.96
164000	-40.63
166000	-39.72
168000	-40.12
170000	-41.28
172000	-42.54
174000	-44.03
176000	-44.39
178000	-43.99
180000	-43.07
182000	-42.47
184000	-41.72
186000	-41.07
188000	-40.65
190000	-41.06
192000	-42.07
194000	-42.81
196000	-40.89
198000	-40.34
200000	-40.12
202000	-39.82
204000	-39.54
206000	-39.3
208000	-38.73
210000	-37.87
212000	-36.72
214000	-36.1
216000	-36.19
218000	-36.45
220000	-36.47
222000	-35.7
224000	-35.06
226000	-34.46
228000	-34.07
230000	-33.74
232000	-33.5
234000	-33.31
236000	-33.27
238000	-33.09
240000	-32.87
242000	-32.51
244000	-32.17
246000	-31.74
248000	-31.33
250000	-30.91
252000	-30.46
254000	-30.13
256000	-29.85
258000	-29.59
260000	-29.28
262000	-28.95
264000	-28.82
266000	-28.92
268000	-29.02
270000	-28.92
272000	-28.64
274000	-28.48
276000	-28.56
278000	-28.83
280000	-29.1
282000	-29.34
284000	-29.26
286000	-29.11
288000	-29.1
290000	-29.22
292000	-29.45
294000	-29.37
296000	-28.68
298000	-27.78
300000	-26.98
302000	-26.42
304000	-26.01
306000	-25.73
308000	-25.53
310000	-25.49
312000	-25.6
314000	-25.88
316000	-26.41
318000	-27.04
320000	-27.43
322000	-27.64
324000	-27.75
326000	-27.83
328000	-27.7
330000	-27.32
332000	-26.69
334000	-26.06
336000	-25.6
338000	-25.28
340000	-25.04
342000	-24.82
344000	-24.61
346000	-24.5
348000	-24.45
350000	-24.54
352000	-24.73
354000	-25
356000	-25.32
358000	-25.67
360000	-26.17
362000	-26.94
364000	-28.09
366000	-29.37
368000	-30.71
370000	-31.97
372000	-32.72
374000	-32.96
376000	-32.67
378000	-32.54
380000	-32.94
382000	-33.77
384000	-34.95
386000	-36.04
388000	-36.59
390000	-36.91
392000	-36.91
394000	-36.39
396000	-35.88
398000	-35.25
400000	-34.62
402000	-33.67
404000	-32.88
406000	-32.24
408000	-31.64
410000	-31.01
412000	-30.33
414000	-29.83
416000	-29.41
418000	-28.95
420000	-28.59
422000	-28.31
424000	-28.11
426000	-28.02
428000	-28.02
430000	-28.06
432000	-28.11
434000	-28.14
436000	-28.18
438000	-28.2
440000	-28.23
442000	-28.32
444000	-28.45
446000	-28.6
448000	-28.73
450000	-28.8
452000	-28.81
454000	-28.77
456000	-28.74
458000	-28.73
460000	-28.79
462000	-28.93
464000	-29.15
466000	-29.47
468000	-29.86
470000	-30.26
472000	-30.62
474000	-30.93
476000	-31.16
478000	-31.31
480000	-31.52
482000	-31.59
484000	-31.58
486000	-31.53
488000	-31.38
490000	-31.18
492000	-31.18
494000	-31.13
496000	-30.94
498000	-30.76
500000	-30.62
502000	-30.55
504000	-30.54
506000	-30.62
508000	-30.74
510000	-30.89
512000	-31.02
514000	-31.21
516000	-31.47
518000	-31.84
520000	-32.29
522000	-32.72
524000	-33.04
526000	-33.29
528000	-33.55
530000	-33.84
532000	-34.12
534000	-34.39
536000	-34.57
538000	-34.63
540000	-34.61
542000	-34.52
544000	-34.37
546000	-34.14
548000	-33.86
550000	-33.6
552000	-33.44
554000	-33.24
556000	-32.97
558000	-32.68
560000	-32.45
562000	-32.24
564000	-32.05
566000	-31.97
568000	-32
570000	-32.14
572000	-32.37
574000	-32.59
576000	-32.71
578000	-32.68
580000	-32.48
582000	-32.14
584000	-31.84
586000	-31.64
588000	-31.55
590000	-31.49
592000	-31.46
594000	-31.44
596000	-31.44
598000	-31.46
600000	-31.52
602000	-31.59
604000	-31.64
606000	-31.7
608000	-31.74
610000	-31.77
612000	-31.73
614000	-31.68
616000	-31.66
618000	-31.64
620000	-31.65
622000	-31.69
624000	-31.77
626000	-31.89
628000	-32.02
630000	-32.15
632000	-32.23
634000	-32.26
636000	-32.27
638000	-32.27
640000	-32.27
642000	-32.25
644000	-32.26
646000	-32.28
648000	-32.34
650000	-32.46
652000	-32.65
654000	-32.92
656000	-33.18
658000	-33.44
660000	-33.66
662000	-33.82
664000	-34.02
666000	-34.26
668000	-34.48
670000	-34.64
672000	-34.75
674000	-34.76
676000	-34.7
678000	-34.68
680000	-34.67
682000	-34.65
684000	-34.46
686000	-34.37
688000	-34.24
690000	-34.15
692000	-34.17
694000	-34.23
696000	-34.13
698000	-33.89
700000	-33.75
702000	-33.79
704000	-33.98
706000	-34.29
708000	-34.7
710000	-35.11
712000	-35.51
714000	-35.85
716000	-36.13
718000	-36.33
720000	-36.46
722000	-36.56
724000	-36.6
726000	-36.61
728000	-36.56
730000	-36.58
732000	-36.65
734000	-36.69
736000	-36.74
738000	-36.82
