Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	2000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-70.07
52000	-68.57
54000	-66.07
56000	-62.72
58000	-62.42
60000	-60.74
62000	-60.34
64000	-59.7
66000	-59.33
68000	-60.14
70000	-59.84
72000	-58.49
74000	-55.54
76000	-56.18
78000	-55.23
80000	-54.77
82000	-57.01
84000	-58.15
86000	-57.06
88000	-55.04
90000	-53.66
92000	-52
94000	-50.77
96000	-48.98
98000	-48.23
100000	-48.89
102000	-48.7
104000	-47.8
106000	-47.56
108000	-47.3
110000	-47.35
112000	-47.28
114000	-47.26
116000	-46.92
118000	-46.06
120000	-45.88
122000	-45.17
124000	-44.23
126000	-43.43
128000	-42.54
130000	-41.9
132000	-40.82
134000	-39.56
136000	-38.26
138000	-37.39
140000	-37.33
142000	-37.82
144000	-39.36
146000	-41.24
148000	-43.41
150000	-46.58
152000	-50.68
154000	-55.85
156000	-58
158000	-51.04
160000	-47.62
162000	-45.25
164000	-43.39
166000	-42.21
168000	-42.31
170000	-44.06
172000	-44.94
174000	-46.82
176000	-47.76
178000	-47.59
180000	-46.89
182000	-46.63
184000	-45.86
186000	-45.24
188000	-45.45
190000	-47.28
192000	-49.66
194000	-50.19
196000	-46.65
198000	-45.26
200000	-45.43
202000	-45.13
204000	-45.1
206000	-44.9
208000	-43.7
210000	-41.65
212000	-40.57
214000	-40.16
216000	-40.37
218000	-40.34
220000	-40.63
222000	-40.92
224000	-40.14
226000	-39.68
228000	-39.64
230000	-39.55
232000	-39.49
234000	-39.74
236000	-39.83
238000	-39.31
240000	-38.87
242000	-38.21
244000	-37.69
246000	-37.01
248000	-36.7
250000	-36.2
252000	-35.62
254000	-35.19
256000	-34.77
258000	-34.66
260000	-34.52
262000	-33.99
264000	-33.62
266000	-33.55
268000	-33.5
270000	-33.36
272000	-32.89
274000	-32.57
276000	-32.46
278000	-32.73
280000	-33.07
282000	-33.4
284000	-33.26
286000	-33
288000	-32.86
290000	-32.94
292000	-33.24
294000	-33.35
296000	-32.73
298000	-31.72
300000	-30.65
302000	-29.71
304000	-28.89
306000	-28.15
308000	-27.54
310000	-27.17
312000	-27.19
314000	-27.63
316000	-28.6
318000	-29.83
320000	-30.59
322000	-31.01
324000	-31.15
326000	-31.34
328000	-31.35
330000	-31.07
332000	-30.26
334000	-29.46
336000	-28.99
338000	-28.79
340000	-28.75
342000	-28.7
344000	-28.74
346000	-28.95
348000	-29.26
350000	-29.68
352000	-30
354000	-30.43
356000	-30.95
358000	-31.45
360000	-32.04
362000	-32.69
364000	-33.85
366000	-35.23
368000	-36.51
370000	-37.78
372000	-38.7
374000	-39.22
376000	-38.84
378000	-38.38
380000	-38.78
382000	-39.18
384000	-39.49
386000	-39.75
388000	-39.8
390000	-39.9
392000	-39.9
394000	-39.47
396000	-38.91
398000	-38.28
400000	-37.39
402000	-36.08
404000	-35.03
406000	-34.23
408000	-33.61
410000	-32.8
412000	-31.98
414000	-31.57
416000	-31.47
418000	-31.4
420000	-31.46
422000	-31.58
424000	-31.76
426000	-32
428000	-32.23
430000	-32.48
432000	-32.72
434000	-32.89
436000	-32.98
438000	-33.06
440000	-33.23
442000	-33.44
444000	-33.64
446000	-33.83
448000	-34
450000	-34.1
452000	-34.14
454000	-34.26
456000	-34.41
458000	-34.59
460000	-34.81
462000	-34.99
464000	-35.19
466000	-35.44
468000	-35.66
470000	-35.88
472000	-36.06
474000	-36.24
476000	-36.42
478000	-36.59
480000	-36.8
482000	-36.99
484000	-37.12
486000	-37.19
488000	-37.09
490000	-36.96
492000	-36.92
494000	-36.78
496000	-36.62
498000	-36.47
500000	-36.49
502000	-36.55
504000	-36.66
506000	-36.79
508000	-36.97
510000	-37.13
512000	-37.34
514000	-37.55
516000	-37.82
518000	-38.15
520000	-38.55
522000	-38.9
524000	-39.26
526000	-39.63
528000	-40.07
530000	-40.59
532000	-41.2
534000	-41.86
536000	-42.42
538000	-42.7
540000	-42.75
542000	-42.55
544000	-42.12
546000	-41.55
548000	-40.98
550000	-40.58
552000	-40.35
554000	-40.08
556000	-39.8
558000	-39.59
560000	-39.47
562000	-39.32
564000	-39.18
566000	-39.11
568000	-39.12
570000	-39.32
572000	-39.62
574000	-39.9
576000	-39.99
578000	-39.84
580000	-39.47
582000	-39
584000	-38.69
586000	-38.53
588000	-38.44
590000	-38.36
592000	-38.32
594000	-38.25
596000	-38.11
598000	-37.99
600000	-37.93
602000	-37.87
604000	-37.8
606000	-37.75
608000	-37.75
610000	-37.75
612000	-37.69
614000	-37.6
616000	-37.56
618000	-37.57
620000	-37.6
622000	-37.65
624000	-37.75
626000	-37.91
628000	-38.07
630000	-38.17
632000	-38.19
634000	-38.15
636000	-38.1
638000	-38.05
640000	-37.99
642000	-37.91
644000	-37.86
646000	-37.82
648000	-37.81
650000	-37.86
652000	-38.06
654000	-38.38
656000	-38.67
658000	-38.98
660000	-39.25
662000	-39.46
664000	-39.7
666000	-39.96
668000	-40.19
670000	-40.37
672000	-40.49
674000	-40.48
676000	-40.44
678000	-40.36
680000	-40.26
682000	-40.12
684000	-39.94
686000	-39.82
688000	-39.63
690000	-39.51
692000	-39.5
694000	-39.47
696000	-39.27
698000	-38.97
700000	-38.76
702000	-38.85
704000	-39.13
706000	-39.53
708000	-39.96
710000	-40.38
712000	-40.8
714000	-41.17
716000	-41.41
718000	-41.51
720000	-41.54
722000	-41.51
724000	-41.47
726000	-41.4
728000	-41.32
730000	-41.36
732000	-41.41
734000	-41.41
736000	-41.42
738000	-41.41
740000	-41.29
