Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [%]:	1
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-70.13
50500	-68.55
51005	-68.66
51515	-69.11
52030	-68.84
52550	-68.81
53075	-67.81
53606	-66.74
54142	-65.77
54683	-64.99
55230	-64.05
55782	-63.03
56340	-62.12
56903	-62.14
57472	-62.52
58047	-62.29
58627	-61.51
59213	-60.82
59805	-60.72
60403	-60.29
61007	-60.23
61617	-60.33
62233	-60.21
62855	-59.98
63484	-59.77
64119	-59.56
64760	-59.35
65408	-59.26
66062	-59.21
66723	-59.26
67390	-59.63
68064	-60.05
68745	-59.92
69432	-59.4
70126	-59.78
70827	-59.43
71535	-58.97
72250	-58.16
72972	-57.54
73702	-56.25
74439	-54.52
75183	-54.67
75935	-56.2
76694	-56.82
77461	-56.04
78236	-55.05
79018	-54.22
79808	-54.55
80606	-56.59
81412	-57.29
82226	-57.66
83048	-58.61
83878	-58.27
84717	-58.15
85564	-57.65
86420	-56.68
87284	-55.83
88157	-55.21
89039	-54.72
89929	-53.98
90828	-53.02
91736	-52.47
92653	-51.87
93580	-51.41
94516	-50.9
95461	-50.03
96416	-48.95
97380	-48.77
98354	-48.94
99338	-48.91
100331	-50.06
101334	-49.72
102347	-49.11
103370	-48.61
104404	-48.34
105448	-48.3
106502	-48.23
107567	-48.11
108643	-48.16
109729	-48.21
110826	-48.18
111934	-48.18
113053	-48.23
114184	-48.08
115326	-47.73
116479	-47.4
117644	-46.82
118820	-46.53
120008	-46.45
121208	-46.01
122420	-45.57
123644	-44.93
124880	-44.41
126129	-43.92
127390	-43.44
128664	-43.1
129951	-42.69
131251	-41.97
132564	-41.45
133890	-40.6
135229	-39.66
136581	-38.95
137947	-38.37
139326	-38.31
140719	-38.65
142126	-39.21
143547	-40.53
144982	-42.28
146432	-44.11
147896	-46.15
149375	-49.1
150869	-53.02
152378	-57.95
153902	-68.71
155441	-57.11
156995	-51.54
158565	-48.79
160151	-46.76
161753	-45.25
163371	-43.92
165005	-42.96
166655	-42.48
168322	-43.04
170005	-44.72
171705	-45.41
173422	-47.09
175156	-48.14
176908	-48.35
178677	-47.74
180464	-47.3
182269	-47.06
184092	-46.3
185933	-45.78
187792	-46.02
189670	-47.87
191567	-49.95
193483	-49.84
195418	-48.55
197372	-45.39
199346	-45.73
201339	-45.43
203352	-45.22
205386	-45.15
207440	-44.02
209514	-42.17
211609	-41.02
213725	-40.6
215862	-40.93
218021	-40.97
220201	-41.38
222403	-41.68
224627	-40.69
226873	-40.53
229142	-40.41
231433	-40.33
233747	-40.62
236084	-40.56
238445	-39.83
240829	-39.21
243237	-38.43
245669	-37.68
248126	-37.29
250607	-36.87
253113	-36.2
255644	-35.61
258200	-35.51
260782	-35.1
263390	-34.41
266024	-34.24
268684	-34.2
271371	-33.71
274085	-33.2
276826	-33.16
279594	-33.63
282390	-34.06
285214	-33.78
288066	-33.49
290947	-33.73
293856	-34.15
296795	-33.23
299763	-31.62
302761	-30.12
305789	-28.83
308847	-27.86
311935	-27.66
315054	-28.61
318205	-30.56
321387	-31.58
324601	-31.86
327847	-32.08
331125	-31.41
334436	-30.05
337780	-29.52
341158	-29.41
344570	-29.44
348016	-29.9
351496	-30.51
355011	-31.34
358561	-32.36
362147	-33.59
365768	-35.92
369426	-38.12
373120	-39.91
376851	-39.43
380620	-39.97
384426	-40.34
388270	-40.56
392153	-40.57
396075	-39.42
400036	-37.78
404036	-35.28
408076	-33.94
412157	-32.32
416279	-32.17
420442	-32.45
424646	-32.91
428892	-33.44
433181	-33.94
437513	-34.12
441888	-34.55
446307	-34.98
450770	-35.19
455278	-35.44
459831	-35.92
464429	-36.35
469073	-36.85
473764	-37.27
478502	-37.73
483287	-38.17
488120	-38.14
493001	-37.95
497931	-37.66
502910	-37.82
507939	-38.23
513018	-38.79
518148	-39.52
523329	-40.45
528562	-41.64
533848	-43.66
539186	-44.86
544578	-43.52
550024	-41.75
555524	-40.87
561079	-40.46
566690	-40.28
572357	-41
578081	-41.05
583862	-39.81
589701	-39.49
595598	-39.2
601554	-38.9
607570	-38.72
613646	-38.53
619782	-38.5
625980	-38.79
632240	-39.04
638562	-38.87
644948	-38.66
651397	-38.79
657911	-39.75
664490	-40.56
671135	-41.32
677846	-41.22
684624	-40.7
691470	-40.33
698385	-39.75
705369	-40.29
712423	-41.77
719547	-42.32
726742	-42.09
734009	-42.14
741349	-41.86
748762	-41.16
756250	-40.65
763812	-40.09
771450	-39.43
779164	-39.15
786956	-39.23
794826	-38.5
802774	-38.59
810802	-39.02
818910	-39.45
827099	-39.8
835370	-39.64
843724	-38.64
852161	-38.16
860683	-38.65
869290	-39.25
877983	-39.43
886763	-38.49
895631	-38.38
904587	-39.64
913633	-41.26
922769	-42.89
931997	-44.79
941317	-46.69
950730	-48.46
960237	-50.73
969839	-53.88
979537	-57.54
989332	-58.08
999225	-55.85
