Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	1000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
50000	-70.16
51000	-68.7
52000	-68.74
53000	-67.93
54000	-65.95
55000	-64.36
56000	-62.52
57000	-62.21
58000	-62.3
59000	-61.01
60000	-60.61
61000	-60.21
62000	-60.25
63000	-59.9
64000	-59.58
65000	-59.28
66000	-59.18
67000	-59.35
68000	-60
69000	-59.37
70000	-59.78
71000	-59.34
72000	-58.41
73000	-57.5
74000	-55.5
75000	-54.41
76000	-56.34
77000	-56.64
78000	-55.39
79000	-54.28
80000	-54.96
81000	-57.4
82000	-57.18
83000	-58.61
84000	-58.24
85000	-58.13
86000	-57.2
87000	-56.14
88000	-55.39
89000	-54.85
90000	-53.96
91000	-52.95
92000	-52.4
93000	-51.82
94000	-51.31
95000	-50.61
96000	-49.47
97000	-48.87
98000	-49.02
99000	-49.07
100000	-49.69
101000	-50.13
102000	-49.43
103000	-48.92
104000	-48.57
105000	-48.5
106000	-48.46
107000	-48.37
108000	-48.3
109000	-48.41
110000	-48.46
111000	-48.4
112000	-48.42
113000	-48.45
114000	-48.32
115000	-48.05
116000	-47.81
117000	-47.34
118000	-46.76
119000	-46.79
120000	-46.6
121000	-46.21
122000	-45.87
123000	-45.41
124000	-44.88
125000	-44.52
126000	-44.15
127000	-43.75
128000	-43.39
129000	-43.23
130000	-42.88
131000	-42.31
132000	-41.97
133000	-41.49
134000	-40.78
135000	-40.08
136000	-39.51
137000	-39.04
138000	-38.63
139000	-38.56
140000	-38.75
141000	-39.09
142000	-39.54
143000	-40.44
144000	-41.52
145000	-42.95
146000	-44.33
147000	-45.7
148000	-47.28
149000	-49.43
150000	-51.98
151000	-55.27
152000	-59.15
153000	-64.58
154000	-75.01
155000	-57.67
156000	-53.67
157000	-50.92
158000	-49.23
159000	-47.99
160000	-46.78
161000	-45.84
162000	-45.01
163000	-44.21
164000	-43.54
165000	-43.01
166000	-42.62
167000	-42.57
168000	-42.89
169000	-43.74
170000	-44.85
171000	-45.19
172000	-45.81
173000	-46.87
174000	-47.67
175000	-48.23
176000	-48.51
177000	-48.47
178000	-48.18
179000	-47.75
180000	-47.5
181000	-47.42
182000	-47.29
183000	-47
184000	-46.52
185000	-46.04
186000	-45.95
187000	-45.65
188000	-46.4
189000	-47.36
190000	-48.44
191000	-49.53
192000	-50.1
193000	-49.9
194000	-49.95
195000	-50.46
196000	-46.39
197000	-45.48
198000	-45.48
199000	-45.78
200000	-45.78
201000	-45.59
202000	-45.39
203000	-45.29
204000	-45.27
205000	-45.21
206000	-45
207000	-44.25
208000	-43.7
209000	-42.72
210000	-41.83
211000	-41.29
212000	-40.93
213000	-40.58
214000	-40.78
215000	-40.9
216000	-41.11
217000	-41.13
218000	-41.16
219000	-41.25
220000	-41.51
221000	-41.77
222000	-41.92
223000	-41.7
224000	-41.14
225000	-40.84
226000	-40.74
227000	-40.76
228000	-40.74
229000	-40.64
230000	-40.57
231000	-40.56
232000	-40.53
233000	-40.67
234000	-40.87
235000	-40.93
236000	-40.75
237000	-40.44
238000	-40.1
239000	-39.86
240000	-39.63
241000	-39.29
242000	-38.91
243000	-38.62
244000	-38.36
245000	-38.03
246000	-37.8
247000	-37.78
248000	-37.51
249000	-37.33
250000	-37.24
251000	-37.03
252000	-36.74
253000	-36.49
254000	-36.23
255000	-35.97
256000	-35.8
257000	-35.74
258000	-35.75
259000	-35.68
260000	-35.54
261000	-35.26
262000	-34.96
263000	-34.71
264000	-34.55
265000	-34.49
266000	-34.45
267000	-34.43
268000	-34.45
269000	-34.4
270000	-34.29
271000	-34.04
272000	-33.77
273000	-33.59
274000	-33.42
275000	-33.29
276000	-33.28
277000	-33.37
278000	-33.54
279000	-33.74
280000	-33.89
281000	-34.06
282000	-34.24
283000	-34.28
284000	-34.17
285000	-34.03
286000	-33.89
287000	-33.75
288000	-33.69
289000	-33.67
290000	-33.73
291000	-33.93
292000	-34.13
293000	-34.32
294000	-34.4
295000	-34.24
296000	-33.9
297000	-33.44
298000	-32.92
299000	-32.35
300000	-31.8
301000	-31.26
302000	-30.76
303000	-30.27
304000	-29.81
305000	-29.38
306000	-28.96
307000	-28.59
308000	-28.26
309000	-28
310000	-27.82
311000	-27.76
312000	-27.81
313000	-27.99
314000	-28.29
315000	-28.73
316000	-29.35
317000	-30.08
318000	-30.63
319000	-31.07
320000	-31.43
321000	-31.69
322000	-31.79
323000	-31.85
324000	-31.94
325000	-32.08
326000	-32.17
327000	-32.22
328000	-32.26
329000	-32.23
330000	-32.05
331000	-31.69
332000	-31.24
333000	-30.78
334000	-30.41
335000	-30.13
336000	-29.92
337000	-29.78
338000	-29.73
339000	-29.72
340000	-29.67
341000	-29.61
342000	-29.58
343000	-29.57
344000	-29.58
345000	-29.67
346000	-29.76
347000	-29.87
348000	-30.08
349000	-30.3
350000	-30.48
351000	-30.62
352000	-30.77
353000	-30.99
354000	-31.24
355000	-31.53
356000	-31.83
357000	-32.11
358000	-32.41
359000	-32.74
360000	-33.08
361000	-33.4
362000	-33.76
363000	-34.3
364000	-34.94
365000	-35.63
366000	-36.28
367000	-36.89
368000	-37.45
369000	-38.04
370000	-38.63
371000	-39.15
372000	-39.64
373000	-40.12
374000	-40.31
375000	-40.19
376000	-40.01
377000	-39.71
378000	-39.61
379000	-39.82
380000	-40.12
381000	-40.3
382000	-40.31
383000	-40.34
384000	-40.51
385000	-40.63
386000	-40.77
387000	-40.87
388000	-40.83
389000	-40.84
390000	-40.95
391000	-41.01
392000	-40.85
393000	-40.55
394000	-40.29
